abilities,attack,base_total,capture_rate,defense,hp,name,sp_attack,sp_defense,speed,type1,generation,is_legendary,has_sturdy,has_swift_swim,has_keen_eye,has_chlorophyll,has_levitate
"['Overgrow', 'Chlorophyll']",49,318,45,49,45,Bulbasaur,65,65,45,grass,1,0,0,0,0,1,0
"['Overgrow', 'Chlorophyll']",62,405,45,63,60,Ivysaur,80,80,60,grass,1,0,0,0,0,1,0
"['Overgrow', 'Chlorophyll']",100,625,45,123,80,Venusaur,122,120,80,grass,1,0,0,0,0,1,0
"['Blaze', 'Solar Power']",52,309,45,43,39,Charmander,60,50,65,fire,1,0,0,0,0,0,0
"['Blaze', 'Solar Power']",64,405,45,58,58,Charmeleon,80,65,80,fire,1,0,0,0,0,0,0
"['Blaze', 'Solar Power']",104,634,45,78,78,Charizard,159,115,100,fire,1,0,0,0,0,0,0
"['Torrent', 'Rain Dish']",48,314,45,65,44,Squirtle,50,64,43,water,1,0,0,0,0,0,0
"['Torrent', 'Rain Dish']",63,405,45,80,59,Wartortle,65,80,58,water,1,0,0,0,0,0,0
"['Torrent', 'Rain Dish']",103,630,45,120,79,Blastoise,135,115,78,water,1,0,0,0,0,0,0
"['Shield Dust', 'Run Away']",30,195,255,35,45,Caterpie,20,20,45,bug,1,0,0,0,0,0,0
['Shed Skin'],20,205,120,55,50,Metapod,25,25,30,bug,1,0,0,0,0,0,0
"['Compoundeyes', 'Tinted Lens']",45,395,45,50,60,Butterfree,90,80,70,bug,1,0,0,0,0,0,0
"['Shield Dust', 'Run Away']",35,195,255,30,40,Weedle,20,20,50,bug,1,0,0,0,0,0,0
['Shed Skin'],25,205,120,50,45,Kakuna,25,25,35,bug,1,0,0,0,0,0,0
"['Swarm', 'Sniper']",150,495,45,40,65,Beedrill,15,80,145,bug,1,0,0,0,0,0,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",45,251,255,40,40,Pidgey,35,35,56,normal,1,0,0,0,1,0,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",60,349,120,55,63,Pidgeotto,50,50,71,normal,1,0,0,0,1,0,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",80,579,45,80,83,Pidgeot,135,80,121,normal,1,0,0,0,1,0,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",56,253,255,35,30,Rattata,25,35,72,normal,1,0,0,0,0,0,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",71,413,127,70,75,Raticate,40,80,77,normal,1,0,0,0,0,0,0
"['Keen Eye', 'Sniper']",60,262,255,30,40,Spearow,31,31,70,normal,1,0,0,0,1,0,0
"['Keen Eye', 'Sniper']",90,442,90,65,65,Fearow,61,61,100,normal,1,0,0,0,1,0,0
"['Intimidate', 'Shed Skin', 'Unnerve']",60,288,255,44,35,Ekans,40,54,55,poison,1,0,0,0,0,0,0
"['Intimidate', 'Shed Skin', 'Unnerve']",95,448,90,69,60,Arbok,65,79,80,poison,1,0,0,0,0,0,0
"['Static', 'Lightningrod']",55,320,190,40,35,Pikachu,50,50,90,electric,1,0,0,0,0,0,0
"['Static', 'Lightningrod', 'Surge Surfer']",85,485,75,50,60,Raichu,95,85,110,electric,1,0,0,0,0,0,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",75,300,255,90,50,Sandshrew,10,35,40,ground,1,0,0,0,0,0,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",100,450,90,120,75,Sandslash,25,65,65,ground,1,0,0,0,0,0,0
"['Poison Point', 'Rivalry', 'Hustle']",47,275,235,52,55,Nidoran♀,40,40,41,poison,1,0,0,0,0,0,0
"['Poison Point', 'Rivalry', 'Hustle']",62,365,120,67,70,Nidorina,55,55,56,poison,1,0,0,0,0,0,0
"['Poison Point', 'Rivalry', 'Sheer Force']",92,505,45,87,90,Nidoqueen,75,85,76,poison,1,0,0,0,0,0,0
"['Poison Point', 'Rivalry', 'Hustle']",57,273,235,40,46,Nidoran♂,40,40,50,poison,1,0,0,0,0,0,0
"['Poison Point', 'Rivalry', 'Hustle']",72,365,120,57,61,Nidorino,55,55,65,poison,1,0,0,0,0,0,0
"['Poison Point', 'Rivalry', 'Sheer Force']",102,505,45,77,81,Nidoking,85,75,85,poison,1,0,0,0,0,0,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']",45,323,150,48,70,Clefairy,60,65,35,fairy,1,0,0,0,0,0,0
"['Cute Charm', 'Magic Guard', 'Unaware']",70,483,25,73,95,Clefable,95,90,60,fairy,1,0,0,0,0,0,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",41,299,190,40,38,Vulpix,50,65,65,fire,1,0,0,0,0,0,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",67,505,75,75,73,Ninetales,81,100,109,fire,1,0,0,0,0,0,0
"['Cute Charm', 'Competitive', 'Friend Guard']",45,270,170,20,115,Jigglypuff,45,25,20,normal,1,0,0,0,0,0,0
"['Cute Charm', 'Competitive', 'Frisk']",70,435,50,45,140,Wigglytuff,85,50,45,normal,1,0,0,0,0,0,0
"['Inner Focus', 'Infiltrator']",45,245,255,35,40,Zubat,30,40,55,poison,1,0,0,0,0,0,0
"['Inner Focus', 'Infiltrator']",80,455,90,70,75,Golbat,65,75,90,poison,1,0,0,0,0,0,0
"['Chlorophyll', 'Run Away']",50,320,255,55,45,Oddish,75,65,30,grass,1,0,0,0,0,1,0
"['Chlorophyll', 'Stench']",65,395,120,70,60,Gloom,85,75,40,grass,1,0,0,0,0,1,0
"['Chlorophyll', 'Effect Spore']",80,490,45,85,75,Vileplume,110,90,50,grass,1,0,0,0,0,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",70,285,190,55,35,Paras,45,55,25,bug,1,0,0,0,0,0,0
"['Effect Spore', 'Dry Skin', 'Damp']",95,405,75,80,60,Parasect,60,80,30,bug,1,0,0,0,0,0,0
"['Compoundeyes', 'Tinted Lens', 'Run Away']",55,305,190,50,60,Venonat,40,55,45,bug,1,0,0,0,0,0,0
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",65,450,75,60,70,Venomoth,90,75,90,bug,1,0,0,0,0,0,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",55,265,255,30,10,Diglett,35,45,90,ground,1,0,0,0,0,0,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",100,425,50,60,35,Dugtrio,50,70,110,ground,1,0,0,0,0,0,0
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",35,290,255,35,40,Meowth,50,40,90,normal,1,0,0,0,0,0,0
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",60,440,90,60,65,Persian,75,65,115,normal,1,0,0,0,0,0,0
"['Damp', 'Cloud Nine', 'Swift Swim']",52,320,190,48,50,Psyduck,65,50,55,water,1,0,0,1,0,0,0
"['Damp', 'Cloud Nine', 'Swift Swim']",82,500,75,78,80,Golduck,95,80,85,water,1,0,0,1,0,0,0
"['Vital Spirit', 'Anger Point', 'Defiant']",80,305,190,35,40,Mankey,35,45,70,fighting,1,0,0,0,0,0,0
"['Vital Spirit', 'Anger Point', 'Defiant']",105,455,75,60,65,Primeape,60,70,95,fighting,1,0,0,0,0,0,0
"['Intimidate', 'Flash Fire', 'Justified']",70,350,190,45,55,Growlithe,70,50,60,fire,1,0,0,0,0,0,0
"['Intimidate', 'Flash Fire', 'Justified']",110,555,75,80,90,Arcanine,100,80,95,fire,1,0,0,0,0,0,0
"['Water Absorb', 'Damp', 'Swift Swim']",50,300,255,40,40,Poliwag,40,40,90,water,1,0,0,1,0,0,0
"['Water Absorb', 'Damp', 'Swift Swim']",65,385,120,65,65,Poliwhirl,50,50,90,water,1,0,0,1,0,0,0
"['Water Absorb', 'Damp', 'Swift Swim']",95,510,45,95,90,Poliwrath,70,90,70,water,1,0,0,1,0,0,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",20,310,200,15,25,Abra,105,55,90,psychic,1,0,0,0,0,0,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",35,400,100,30,40,Kadabra,120,70,105,psychic,1,0,0,0,0,0,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",50,600,50,65,55,Alakazam,175,105,150,psychic,1,0,0,0,0,0,0
"['Guts', 'No Guard', 'Steadfast']",80,305,180,50,70,Machop,35,35,35,fighting,1,0,0,0,0,0,0
"['Guts', 'No Guard', 'Steadfast']",100,405,90,70,80,Machoke,50,60,45,fighting,1,0,0,0,0,0,0
"['Guts', 'No Guard', 'Steadfast']",130,505,45,80,90,Machamp,65,85,55,fighting,1,0,0,0,0,0,0
"['Chlorophyll', 'Gluttony']",75,300,255,35,50,Bellsprout,70,30,40,grass,1,0,0,0,0,1,0
"['Chlorophyll', 'Gluttony']",90,390,120,50,65,Weepinbell,85,45,55,grass,1,0,0,0,0,1,0
"['Chlorophyll', 'Gluttony']",105,490,45,65,80,Victreebel,100,70,70,grass,1,0,0,0,0,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,335,190,35,40,Tentacool,50,100,70,water,1,0,0,0,0,0,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",70,515,60,65,80,Tentacruel,80,120,100,water,1,0,0,0,0,0,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",80,300,255,100,40,Geodude,30,30,20,rock,1,0,1,0,0,0,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",95,390,120,115,55,Graveler,45,45,35,rock,1,0,1,0,0,0,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",120,495,45,130,80,Golem,55,65,45,rock,1,0,1,0,0,0,0
"['Run Away', 'Flash Fire', 'Flame Body']",85,410,190,55,50,Ponyta,65,65,90,fire,1,0,0,0,0,0,0
"['Run Away', 'Flash Fire', 'Flame Body']",100,500,60,70,65,Rapidash,80,80,105,fire,1,0,0,0,0,0,0
"['Oblivious', 'Own Tempo', 'Regenerator']",65,315,190,65,90,Slowpoke,40,40,15,water,1,0,0,0,0,0,0
"['Oblivious', 'Own Tempo', 'Regenerator']",75,590,75,180,95,Slowbro,130,80,30,water,1,0,0,0,0,0,0
"['Magnet Pull', 'Sturdy', 'Analytic']",35,325,190,70,25,Magnemite,95,55,45,electric,1,0,1,0,0,0,0
"['Magnet Pull', 'Sturdy', 'Analytic']",60,465,60,95,50,Magneton,120,70,70,electric,1,0,1,0,0,0,0
"['Keen Eye', 'Inner Focus', 'Defiant']",90,377,45,55,52,Farfetch'd,58,62,60,normal,1,0,0,0,1,0,0
"['Run Away', 'Early Bird', 'Tangled Feet']",85,310,190,45,35,Doduo,35,35,75,normal,1,0,0,0,0,0,0
"['Run Away', 'Early Bird', 'Tangled Feet']",110,470,45,70,60,Dodrio,60,60,110,normal,1,0,0,0,0,0,0
"['Thick Fat', 'Hydration', 'Ice Body']",45,325,190,55,65,Seel,45,70,45,water,1,0,0,0,0,0,0
"['Thick Fat', 'Hydration', 'Ice Body']",70,475,75,80,90,Dewgong,70,95,70,water,1,0,0,0,0,0,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",80,325,190,50,80,Grimer,40,50,25,poison,1,0,0,0,0,0,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",105,500,75,75,105,Muk,65,100,50,poison,1,0,0,0,0,0,0
"['Shell Armor', 'Skill Link', 'Overcoat']",65,305,190,100,30,Shellder,45,25,40,water,1,0,0,0,0,0,0
"['Shell Armor', 'Skill Link', 'Overcoat']",95,525,60,180,50,Cloyster,85,45,70,water,1,0,0,0,0,0,0
['Levitate'],35,310,190,30,30,Gastly,100,35,80,ghost,1,0,0,0,0,0,1
['Levitate'],50,405,90,45,45,Haunter,115,55,95,ghost,1,0,0,0,0,0,1
['Cursed Body'],65,600,45,80,60,Gengar,170,95,130,ghost,1,0,0,0,0,0,0
"['Rock Head', 'Sturdy', 'Weak Armor']",45,385,45,160,35,Onix,30,45,70,rock,1,0,1,0,0,0,0
"['Insomnia', 'Forewarn', 'Inner Focus']",48,328,190,45,60,Drowzee,43,90,42,psychic,1,0,0,0,0,0,0
"['Insomnia', 'Forewarn', 'Inner Focus']",73,483,75,70,85,Hypno,73,115,67,psychic,1,0,0,0,0,0,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",105,325,225,90,30,Krabby,25,25,50,water,1,0,0,0,0,0,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",130,475,60,115,55,Kingler,50,50,75,water,1,0,0,0,0,0,0
"['Soundproof', 'Static', 'Aftermath']",30,330,190,50,40,Voltorb,55,55,100,electric,1,0,0,0,0,0,0
"['Soundproof', 'Static', 'Aftermath']",50,490,60,70,60,Electrode,80,80,150,electric,1,0,0,0,0,0,0
"['Chlorophyll', 'Harvest']",40,325,90,80,60,Exeggcute,60,45,40,grass,1,0,0,0,0,1,0
"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",105,530,45,85,95,Exeggutor,125,75,45,grass,1,0,0,0,0,1,0
"['Rock Head', 'Lightningrod', 'Battle Armor']",50,320,190,95,50,Cubone,40,50,35,ground,1,0,0,0,0,0,0
"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",80,425,75,110,60,Marowak,50,80,45,ground,1,0,0,0,0,0,0
"['Limber', 'Reckless', 'Unburden']",120,455,45,53,50,Hitmonlee,35,110,87,fighting,1,0,0,0,0,0,0
"['Keen Eye', 'Iron Fist', 'Inner Focus']",105,455,45,79,50,Hitmonchan,35,110,76,fighting,1,0,0,0,1,0,0
"['Own Tempo', 'Oblivious', 'Cloud Nine']",55,385,45,75,90,Lickitung,60,75,30,normal,1,0,0,0,0,0,0
['Levitate'],65,340,190,95,40,Koffing,60,45,35,poison,1,0,0,0,0,0,1
['Levitate'],90,490,60,120,65,Weezing,85,70,60,poison,1,0,0,0,0,0,1
"['Lightningrod', 'Rock Head', 'Reckless']",85,345,120,95,80,Rhyhorn,30,30,25,ground,1,0,0,0,0,0,0
"['Lightningrod', 'Rock Head', 'Reckless']",130,485,60,120,105,Rhydon,45,45,40,ground,1,0,0,0,0,0,0
"['Natural Cure', 'Serene Grace', 'Healer']",5,450,30,5,250,Chansey,35,105,50,normal,1,0,0,0,0,0,0
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",55,435,45,115,65,Tangela,100,40,60,grass,1,0,0,0,0,1,0
"['Early Bird', 'Scrappy', 'Inner Focus']",125,590,45,100,105,Kangaskhan,60,100,100,normal,1,0,0,0,0,0,0
"['Swift Swim', 'Sniper', 'Damp']",40,295,225,70,30,Horsea,70,25,60,water,1,0,0,1,0,0,0
"['Poison Point', 'Sniper', 'Damp']",65,440,75,95,55,Seadra,95,45,85,water,1,0,0,0,0,0,0
"['Swift Swim', 'Water Veil', 'Lightningrod']",67,320,225,60,45,Goldeen,35,50,63,water,1,0,0,1,0,0,0
"['Swift Swim', 'Water Veil', 'Lightningrod']",92,450,60,65,80,Seaking,65,80,68,water,1,0,0,1,0,0,0
"['Illuminate', 'Natural Cure', 'Analytic']",45,340,225,55,30,Staryu,70,55,85,water,1,0,0,0,0,0,0
"['Illuminate', 'Natural Cure', 'Analytic']",75,520,60,85,60,Starmie,100,85,115,water,1,0,0,0,0,0,0
"['Soundproof', 'Filter', 'Technician']",45,460,45,65,40,Mr. Mime,100,120,90,psychic,1,0,0,0,0,0,0
"['Swarm', 'Technician', 'Steadfast']",110,500,45,80,70,Scyther,55,80,105,bug,1,0,0,0,0,0,0
"['Oblivious', 'Forewarn', 'Dry Skin']",50,455,45,35,65,Jynx,115,95,95,ice,1,0,0,0,0,0,0
"['Static', 'Vital Spirit']",83,490,45,57,65,Electabuzz,95,85,105,electric,1,0,0,0,0,0,0
"['Flame Body', 'Vital Spirit']",95,495,45,57,65,Magmar,100,85,93,fire,1,0,0,0,0,0,0
"['Hyper Cutter', 'Mold Breaker', 'Moxie']",155,600,45,120,65,Pinsir,65,90,105,bug,1,0,0,0,0,0,0
"['Intimidate', 'Anger Point', 'Sheer Force']",100,490,45,95,75,Tauros,40,70,110,normal,1,0,0,0,0,0,0
"['Swift Swim', 'Rattled']",10,200,255,55,20,Magikarp,15,20,80,water,1,0,0,1,0,0,0
"['Intimidate', 'Moxie']",155,640,45,109,95,Gyarados,70,130,81,water,1,0,0,0,0,0,0
"['Water Absorb', 'Shell Armor', 'Hydration']",85,535,45,80,130,Lapras,85,95,60,water,1,0,0,0,0,0,0
"['Limber', 'Imposter']",48,288,35,48,48,Ditto,48,48,48,normal,1,0,0,0,0,0,0
"['Run Away', 'Adaptability', 'Anticipation']",55,325,45,50,55,Eevee,45,65,55,normal,1,0,0,0,0,0,0
"['Water Absorb', 'Hydration']",65,525,45,60,130,Vaporeon,110,95,65,water,1,0,0,0,0,0,0
"['Volt Absorb', 'Quick Feet']",65,525,45,60,65,Jolteon,110,95,130,electric,1,0,0,0,0,0,0
"['Flash Fire', 'Guts']",130,525,45,60,65,Flareon,95,110,65,fire,1,0,0,0,0,0,0
"['Trace', 'Download', 'Analytic']",60,395,45,70,65,Porygon,85,75,40,normal,1,0,0,0,0,0,0
"['Swift Swim', 'Shell Armor', 'Weak Armor']",40,355,45,100,35,Omanyte,90,55,35,rock,1,0,0,1,0,0,0
"['Swift Swim', 'Shell Armor', 'Weak Armor']",60,495,45,125,70,Omastar,115,70,55,rock,1,0,0,1,0,0,0
"['Swift Swim', 'Battle Armor', 'Weak Armor']",80,355,45,90,30,Kabuto,55,45,55,rock,1,0,0,1,0,0,0
"['Swift Swim', 'Battle Armor', 'Weak Armor']",115,495,45,105,60,Kabutops,65,70,80,rock,1,0,0,1,0,0,0
"['Rock Head', 'Pressure', 'Unnerve']",135,615,45,85,80,Aerodactyl,70,95,150,rock,1,0,0,0,0,0,0
"['Immunity', 'Thick Fat', 'Gluttony']",110,540,25,65,160,Snorlax,65,110,30,normal,1,0,0,0,0,0,0
"['Pressure', 'Snow Cloak']",85,580,3,100,90,Articuno,95,125,85,ice,1,1,0,0,0,0,0
"['Pressure', 'Static']",90,580,3,85,90,Zapdos,125,90,100,electric,1,1,0,0,0,0,0
"['Pressure', 'Flame Body']",100,580,3,90,90,Moltres,125,85,90,fire,1,1,0,0,0,0,0
"['Shed Skin', 'Marvel Scale']",64,300,45,45,41,Dratini,50,50,50,dragon,1,0,0,0,0,0,0
"['Shed Skin', 'Marvel Scale']",84,420,45,65,61,Dragonair,70,70,70,dragon,1,0,0,0,0,0,0
"['Inner Focus', 'Multiscale']",134,600,45,95,91,Dragonite,100,100,80,dragon,1,0,0,0,0,0,0
"['Pressure', 'Unnerve']",150,780,3,70,106,Mewtwo,194,120,140,psychic,1,1,0,0,0,0,0
['Synchronize'],100,600,45,100,100,Mew,100,100,100,psychic,1,1,0,0,0,0,0
"['Overgrow', 'Leaf Guard']",49,318,45,65,45,Chikorita,49,65,45,grass,2,0,0,0,0,0,0
"['Overgrow', 'Leaf Guard']",62,405,45,80,60,Bayleef,63,80,60,grass,2,0,0,0,0,0,0
"['Overgrow', 'Leaf Guard']",82,525,45,100,80,Meganium,83,100,80,grass,2,0,0,0,0,0,0
"['Blaze', 'Flash Fire']",52,309,45,43,39,Cyndaquil,60,50,65,fire,2,0,0,0,0,0,0
